transaction_id,timestamp,amount,currency,payment_method,card_id,ip_address,device_fingerprint,merchant_id,customer_id,customer_city,customer_state,is_fraud,fraud_type
TXN_006252,2026-08-17 14:28:03.538096,12910.56,INR,upi,CARD_0013,10.119.58.3,DEV_6964,M010,C0451,Kolkata,West Bengal,0,
TXN_004684,2026-08-26 18:26:50.538096,1984.61,INR,card,CARD_0150,10.61.25.213,DEV_1579,M007,C0028,Kolkata,West Bengal,0,
TXN_001731,2026-08-05 10:34:38.538096,3954.88,INR,upi,CARD_0145,10.22.193.197,DEV_9481,M009,C0186,Ahmedabad,Gujarat,0,
TXN_004742,2026-08-15 03:33:55.538096,25571.25,INR,upi,CARD_0081,10.40.218.122,DEV_2779,M002,C0336,Ahmedabad,Gujarat,0,
TXN_004521,2026-08-06 16:32:54.538096,2411.63,INR,card,CARD_0031,10.173.48.133,DEV_6112,M009,C0372,Ahmedabad,Gujarat,0,
TXN_006340,2026-08-19 21:32:02.538096,2082.98,INR,netbanking,CARD_0184,10.8.24.53,DEV_8284,M009,C0268,Bangalore,Karnataka,0,
TXN_000576,2026-08-11 22:37:14.538096,18611.45,INR,upi,CARD_0171,10.16.79.185,DEV_1596,M005,C0085,Kolkata,West Bengal,0,
TXN_005202,2026-08-17 06:31:45.538096,18147.71,INR,card,CARD_0065,10.73.46.60,DEV_4356,M010,C0027,Jaipur,Rajasthan,0,
TXN_006363,2026-08-29 11:46:36.538096,1003.98,INR,netbanking,CARD_0044,10.235.151.184,DEV_4590,M009,C0261,Chennai,Tamil Nadu,0,
TXN_000439,2026-08-21 06:00:24.538096,7277.06,INR,netbanking,CARD_0160,10.249.220.212,DEV_5485,M001,C0351,Chennai,Tamil Nadu,0,
TXN_002750,2026-08-27 08:45:39.538096,3003.5,INR,card,CARD_0082,10.87.104.129,DEV_2989,M008,C0327,Delhi,Delhi,0,
TXN_007487,2026-08-10 01:25:02.538096,1373.39,INR,upi,CARD_0117,10.29.172.241,DEV_7883,M008,C0459,Bangalore,Karnataka,0,
TXN_005272,2026-08-18 04:51:13.538096,7572.54,INR,upi,CARD_0089,10.1.158.55,DEV_8441,M005,C0431,Kolkata,West Bengal,0,
TXN_005653,2026-08-06 10:40:14.538096,9243.69,INR,upi,CARD_0027,10.246.10.237,DEV_4384,M005,C0299,Kolkata,West Bengal,0,
TXN_003999,2026-08-06 03:32:28.538096,16405.19,INR,wallet,CARD_0140,10.134.193.102,DEV_8832,M005,C0114,Kolkata,West Bengal,0,
TXN_006033,2026-08-08 18:40:10.538096,2361.79,INR,upi,CARD_0101,10.105.223.64,DEV_3741,M003,C0426,Mumbai,Maharashtra,0,
TXN_000582,2026-08-09 03:56:07.538096,6412.84,INR,netbanking,CARD_0193,10.67.237.48,DEV_2820,M010,C0146,Hyderabad,Telangana,0,
TXN_009930,2026-08-12 17:17:24.538096,3550.54,INR,card,CARD_0026,10.63.189.241,DEV_9052,M001,C0282,Bangalore,Karnataka,1,return_fraud
TXN_007051,2026-08-20 19:01:10.538096,28649.7,INR,card,CARD_0166,10.48.42.186,DEV_7498,M010,C0026,Hyderabad,Telangana,0,
TXN_008158,2026-08-23 05:25:01.538096,12305.51,INR,card,CARD_0082,10.135.93.78,DEV_9385,M004,C0094,Kolkata,West Bengal,0,
TXN_009896,2026-08-11 16:47:54.538096,9.96,INR,card,CARD_0200,10.76.243.71,DEV_6142,M009,C0394,Hyderabad,Telangana,1,card_testing
TXN_002249,2026-08-22 16:05:04.538096,9886.54,INR,card,CARD_0043,10.177.113.73,DEV_6101,M004,C0151,Pune,Maharashtra,0,
TXN_004640,2026-08-29 22:51:33.538096,1393.57,INR,card,CARD_0009,10.157.95.76,DEV_2365,M003,C0185,Pune,Maharashtra,0,
TXN_009485,2026-08-23 13:36:06.538096,11333.02,INR,upi,CARD_0104,10.138.253.42,DEV_5249,M005,C0172,Hyderabad,Telangana,0,
TXN_004947,2026-08-27 14:21:08.538096,10257.76,INR,upi,CARD_0018,10.111.33.86,DEV_3998,M010,C0321,Pune,Maharashtra,0,
TXN_009920,2026-08-25 17:09:10.538096,34357.41,INR,card,CARD_0167,10.65.77.99,DEV_8798,M002,C0380,Kolkata,West Bengal,1,return_fraud
TXN_001963,2026-08-07 20:18:18.538096,5835.53,INR,netbanking,CARD_0180,10.161.105.34,DEV_6319,M001,C0256,Chennai,Tamil Nadu,0,
TXN_008243,2026-08-06 20:09:02.538096,1436.83,INR,card,CARD_0029,10.170.164.60,DEV_2043,M009,C0044,Delhi,Delhi,0,
TXN_006590,2026-08-29 22:11:08.538096,1573.34,INR,card,CARD_0073,10.143.143.11,DEV_3385,M008,C0245,Chennai,Tamil Nadu,0,
TXN_008847,2026-08-05 14:27:07.538096,37595.17,INR,card,CARD_0142,10.6.122.187,DEV_6358,M005,C0177,Hyderabad,Telangana,0,
TXN_000321,2026-08-24 16:04:16.538096,17865.08,INR,upi,CARD_0104,10.65.54.199,DEV_2676,M010,C0216,Lucknow,Uttar Pradesh,0,
TXN_002678,2026-08-11 20:46:20.538096,16116.85,INR,card,CARD_0014,10.233.111.229,DEV_1337,M005,C0394,Hyderabad,Telangana,0,
TXN_004625,2026-08-26 15:32:08.538096,3490.41,INR,upi,CARD_0173,10.18.90.236,DEV_3125,M008,C0047,Delhi,Delhi,0,
TXN_004949,2026-08-09 02:32:17.538096,26364.5,INR,card,CARD_0118,10.165.61.153,DEV_3224,M010,C0444,Mumbai,Maharashtra,0,
TXN_008328,2026-08-14 20:16:32.538096,9355.22,INR,card,CARD_0087,10.210.79.152,DEV_9276,M010,C0351,Chennai,Tamil Nadu,0,
TXN_003337,2026-08-18 06:45:33.538096,6610.46,INR,upi,CARD_0058,10.250.145.221,DEV_1244,M004,C0130,Chennai,Tamil Nadu,0,
TXN_005589,2026-08-18 16:08:41.538096,1507.85,INR,upi,CARD_0103,10.83.108.42,DEV_9740,M008,C0084,Lucknow,Uttar Pradesh,0,
TXN_000251,2026-08-21 03:08:40.538096,7297.15,INR,card,CARD_0049,10.40.16.87,DEV_1182,M005,C0344,Jaipur,Rajasthan,0,
TXN_003973,2026-08-12 23:10:22.538096,3057.13,INR,netbanking,CARD_0170,10.53.143.131,DEV_1349,M008,C0251,Delhi,Delhi,0,
TXN_006630,2026-08-28 08:30:45.538096,21026.12,INR,upi,CARD_0058,10.134.209.254,DEV_9794,M004,C0408,Lucknow,Uttar Pradesh,0,
TXN_005547,2026-08-18 01:37:43.538096,1884.02,INR,netbanking,CARD_0004,10.130.226.127,DEV_3747,M003,C0415,Lucknow,Uttar Pradesh,0,
TXN_000035,2026-08-23 09:03:33.538096,1462.5,INR,upi,CARD_0036,10.151.222.5,DEV_9195,M008,C0031,Jaipur,Rajasthan,0,
TXN_008362,2026-08-11 17:23:10.538096,363.86,INR,wallet,CARD_0187,10.159.97.212,DEV_7570,M006,C0047,Delhi,Delhi,0,
TXN_001513,2026-08-15 04:11:03.538096,30872.23,INR,upi,CARD_0189,10.219.66.83,DEV_6054,M010,C0204,Chennai,Tamil Nadu,0,
TXN_009317,2026-08-11 12:43:16.538096,1163.13,INR,upi,CARD_0171,10.60.16.220,DEV_8370,M007,C0323,Lucknow,Uttar Pradesh,0,
TXN_000039,2026-08-31 12:37:57.538096,22352.06,INR,card,CARD_0010,10.4.150.137,DEV_2619,M002,C0390,Ahmedabad,Gujarat,0,
TXN_004819,2026-08-11 23:23:19.538096,13118.65,INR,upi,CARD_0169,10.47.55.219,DEV_4820,M002,C0043,Chennai,Tamil Nadu,0,
TXN_003465,2026-08-04 12:25:27.538096,27801.48,INR,card,CARD_0128,10.183.216.198,DEV_7857,M004,C0478,Bangalore,Karnataka,0,
TXN_001760,2026-08-04 11:24:47.538096,1683.13,INR,upi,CARD_0059,10.177.212.11,DEV_2235,M009,C0291,Hyderabad,Telangana,0,
TXN_002304,2026-08-26 11:40:03.538096,16642.66,INR,upi,CARD_0048,10.93.6.154,DEV_4301,M005,C0475,Ahmedabad,Gujarat,0,
TXN_003723,2026-08-07 07:15:32.538096,21502.42,INR,card,CARD_0170,10.120.242.66,DEV_3597,M010,C0454,Ahmedabad,Gujarat,0,
TXN_008284,2026-08-10 20:28:57.538096,15767.61,INR,wallet,CARD_0061,10.134.180.220,DEV_7243,M010,C0054,Lucknow,Uttar Pradesh,0,
TXN_004993,2026-08-22 15:55:31.538096,1376.82,INR,card,CARD_0111,10.239.93.76,DEV_2351,M006,C0091,Delhi,Delhi,0,
TXN_008127,2026-08-26 03:32:43.538096,12370.61,INR,upi,CARD_0044,10.108.31.185,DEV_3494,M002,C0278,Hyderabad,Telangana,0,
TXN_003032,2026-08-08 13:26:21.538096,3888.46,INR,card,CARD_0131,10.228.119.155,DEV_7765,M009,C0492,Mumbai,Maharashtra,0,
TXN_007938,2026-08-04 08:52:51.538096,2944.99,INR,wallet,CARD_0184,10.103.83.183,DEV_6709,M001,C0233,Chennai,Tamil Nadu,0,
TXN_003039,2026-08-28 02:05:49.538096,1520.14,INR,wallet,CARD_0084,10.234.238.204,DEV_3503,M006,C0365,Kolkata,West Bengal,0,
TXN_009655,2026-08-19 17:34:35.538096,52947.75,INR,card,CARD_0124,10.18.140.153,DEV_7822,M007,C0471,Chennai,Tamil Nadu,1,amount_anomaly
TXN_002545,2026-08-14 00:10:36.538096,22008.78,INR,card,CARD_0159,10.104.196.228,DEV_6606,M004,C0043,Chennai,Tamil Nadu,0,
TXN_002592,2026-08-08 23:37:42.538096,11253.82,INR,netbanking,CARD_0165,10.185.247.210,DEV_8025,M004,C0229,Jaipur,Rajasthan,0,
TXN_001188,2026-08-16 07:14:17.538096,25280.25,INR,upi,CARD_0007,10.106.67.127,DEV_7656,M010,C0384,Lucknow,Uttar Pradesh,0,
TXN_007966,2026-08-14 14:48:38.538096,2734.06,INR,card,CARD_0198,10.252.105.191,DEV_2158,M009,C0461,Kolkata,West Bengal,0,
TXN_006077,2026-08-16 22:28:56.538096,18141.12,INR,upi,CARD_0016,10.13.230.245,DEV_6167,M002,C0386,Mumbai,Maharashtra,0,
TXN_000107,2026-08-19 19:23:44.538096,1935.32,INR,card,CARD_0141,10.232.38.14,DEV_2823,M003,C0465,Delhi,Delhi,0,
TXN_001315,2026-08-10 10:55:00.538096,1794.1,INR,upi,CARD_0081,10.99.12.70,DEV_8493,M007,C0238,Ahmedabad,Gujarat,0,
TXN_008187,2026-08-08 02:50:48.538096,2278.08,INR,card,CARD_0176,10.145.130.92,DEV_6323,M003,C0182,Kolkata,West Bengal,0,
TXN_002753,2026-09-01 23:59:36.538096,16032.75,INR,upi,CARD_0143,10.148.57.131,DEV_3467,M005,C0169,Delhi,Delhi,0,
TXN_009753,2026-08-14 04:38:05.538096,18734.58,INR,card,CARD_0184,10.116.255.180,DEV_3297,M010,C0093,Hyderabad,Telangana,1,geo_mismatch
TXN_006231,2026-08-23 21:37:35.538096,1208.54,INR,upi,CARD_0054,10.218.247.27,DEV_1199,M003,C0005,Pune,Maharashtra,0,
TXN_002876,2026-08-03 19:41:49.538096,17051.37,INR,upi,CARD_0184,10.164.48.205,DEV_2459,M010,C0449,Delhi,Delhi,0,
TXN_005323,2026-08-07 00:47:27.538096,1720.22,INR,card,CARD_0186,10.111.210.176,DEV_8050,M003,C0275,Pune,Maharashtra,0,
TXN_000799,2026-08-12 21:33:14.538096,3138.97,INR,upi,CARD_0062,10.108.166.36,DEV_1391,M003,C0422,Lucknow,Uttar Pradesh,0,
TXN_003570,2026-08-21 11:49:34.538096,2425.19,INR,wallet,CARD_0170,10.231.212.71,DEV_4566,M009,C0233,Chennai,Tamil Nadu,0,
